time;DNI;DHI;gamma;psi
0;0;0;0;166.81
1;0;0;0;-162.04
2;0;0;0;-135.51
3;0;0;0;-116.14
4;0;0;0;-101.57
5;0;0;0;-89.56
6;0;0;0;-78.75
7;0;0;0;-68.27
8;0;0;0;-57.55
9;0;18;4.76;-46.14
10;0;31;11.11;-33.78
11;0;34;15.61;-20.37
12;0;45;17.88;-6.17
13;0;38;17.69;8.32
14;0;25;15.07;22.43
15;0;17;10.27;35.68
16;0;4;3.68;47.9
17;0;0;0;59.18
18;0;0;0;69.83
19;0;0;0;80.32
20;0;0;0;91.25
21;0;0;0;103.53
22;0;0;0;118.65
23;0;0;0;138.97
24;0;0;0;166.58
25;0;0;0;-162.31
26;0;0;0;-135.76
27;0;0;0;-116.35
28;0;0;0;-101.74
29;0;0;0;-89.71
30;0;0;0;-78.89
31;0;0;0;-68.41
32;0;0;0;-57.68
33;374;38;4.78;-46.27
34;551;56;11.14;-33.91
35;623;66;15.66;-20.5
36;595;71;17.96;-6.28
37;558;68;17.79;8.22
38;438;55;15.18;22.35
39;261;30;10.39;35.63
40;0;8;3.81;47.85
41;0;0;0;59.15
42;0;0;0;69.81
43;0;0;0;80.3
44;0;0;0;91.23
45;0;0;0;103.51
46;0;0;0;118.61
47;0;0;0;138.87
48;0;0;0;166.39
49;0;0;0;-162.57
50;0;0;0;-136.01
51;0;0;0;-116.56
52;0;0;0;-101.92
53;0;0;0;-89.87
54;0;0;0;-79.04
55;0;0;0;-68.55
56;0;0;0;-57.82
57;412;37;4.8;-46.41
58;582;56;11.19;-34.04
59;643;67;15.73;-20.63
60;606;78;18.04;-6.4
61;444;89;17.89;8.12
62;171;81;15.3;22.28
63;9;43;10.51;35.57
64;1;9;3.94;47.82
65;0;0;0;59.12
66;0;0;0;69.8
67;0;0;0;80.3
68;0;0;0;91.23
69;0;0;0;103.5
70;0;0;0;118.58
71;0;0;0;138.78
72;0;0;0;166.2
73;0;0;0;-162.84
74;0;0;0;-136.27
75;0;0;0;-116.78
76;0;0;0;-102.11
77;0;0;0;-90.04
78;0;0;0;-79.19
79;0;0;0;-68.69
80;0;0;0;-57.96
81;20;45;4.84;-46.55
82;40;93;11.24;-34.17
83;36;91;15.8;-20.75
84;168;80;18.13;-6.51
85;384;80;18;8.03
86;445;61;15.42;22.2
87;332;33;10.65;35.52
88;112;10;4.08;47.79
89;0;0;0;59.11
90;0;0;0;69.79
91;0;0;0;80.3
92;0;0;0;91.23
93;0;0;0;103.5
94;0;0;0;118.55
95;0;0;0;138.7
96;0;0;0;166.01
97;0;0;0;-163.1
98;0;0;0;-136.53
99;0;0;0;-117.01
100;0;0;0;-102.3
101;0;0;0;-90.21
102;0;0;0;-79.34
103;0;0;0;-68.84
104;0;0;0;-58.1
105;0;12;4.88;-46.69
106;0;16;11.3;-34.31
107;0;16;15.88;-20.88
108;2;26;18.23;-6.62
109;4;42;18.12;7.93
110;10;33;15.55;22.14
111;36;14;10.78;35.47
112;29;6;4.22;47.76
113;0;0;0;59.09
114;0;0;0;69.79
115;0;0;0;80.3
116;0;0;0;91.24
117;0;0;0;103.5
118;0;0;0;118.54
119;0;0;0;138.63
120;0;0;0;165.84
121;0;0;0;-163.37
122;0;0;0;-136.8
123;0;0;0;-117.24
124;0;0;0;-102.5
125;0;0;0;-90.38
126;0;0;0;-79.5
127;0;0;0;-68.99
128;0;0;0;-58.25
129;87;47;4.92;-46.83
130;123;91;11.36;-34.45
131;134;124;15.96;-21.01
132;102;125;18.33;-6.74
133;66;117;18.24;7.84
134;119;90;15.68;22.07
135;142;46;10.93;35.43
136;56;12;4.37;47.73
137;0;0;0;59.09
138;0;0;0;69.79
139;0;0;0;80.31
140;0;0;0;91.25
141;0;0;0;103.51
142;0;0;0;118.53
143;0;0;0;138.57
144;0;0;0;165.67
145;0;0;0;-163.63
146;0;0;0;-137.07
147;0;0;0;-117.48
148;0;0;0;-102.7
149;0;0;0;-90.56
150;0;0;0;-79.67
151;0;0;0;-69.15
152;0;0;0;-58.4
153;109;40;4.98;-46.98
154;15;71;11.43;-34.59
155;35;93;16.05;-21.14
156;44;110;18.45;-6.85
157;37;107;18.37;7.75
158;86;78;15.83;22.01
159;136;39;11.08;35.39
160;72;9;4.52;47.72
161;0;0;0;59.08
162;0;0;0;69.8
163;0;0;0;80.33
164;0;0;0;91.27
165;0;0;0;103.53
166;0;0;0;118.53
167;0;0;0;138.51
168;0;0;0;165.5
169;0;0;0;-163.89
170;0;0;0;-137.34
171;0;0;0;-117.72
172;0;0;0;-102.91
173;0;0;0;-90.75
174;0;0;0;-79.84
175;0;0;0;-69.31
176;0;0;0;-58.55
177;395;39;5.03;-47.13
178;506;61;11.51;-34.73
179;610;70;16.15;-21.27
180;675;71;18.57;-6.96
181;650;68;18.5;7.67
182;422;65;15.98;21.95
183;232;44;11.23;35.36
184;123;11;4.68;47.7
185;0;0;0;59.09
186;0;0;0;69.82
187;0;0;0;80.35
188;0;0;0;91.3
189;0;0;0;103.56
190;0;0;0;118.54
191;0;0;0;138.47
192;0;0;0;165.35
193;0;0;0;-164.15
194;0;0;0;-137.62
195;0;0;0;-117.96
196;0;0;0;-103.12
197;0;0;0;-90.94
198;0;0;0;-80.01
199;0;0;0;-69.47
200;0;0;0;-58.71
201;84;42;5.1;-47.28
202;164;76;11.59;-34.87
203;224;104;16.26;-21.4
204;314;116;18.69;-7.07
205;249;123;18.65;7.58
206;81;112;16.13;21.89
207;36;63;11.39;35.33
208;10;16;4.84;47.69
209;0;0;0;59.09
210;0;0;0;69.84
211;0;0;0;80.38
212;0;0;0;91.34
213;0;0;0;103.59
214;0;0;0;118.56
215;0;0;0;138.43
216;0;0;0;165.2
217;0;0;0;-164.41
218;0;0;0;-137.9
219;0;0;0;-118.21
220;0;0;0;-103.34
221;0;0;0;-91.13
222;0;0;0;-80.19
223;0;0;0;-69.63
224;0;0;0;-58.87
225;245;37;5.17;-47.43
226;241;57;11.69;-35.02
227;265;78;16.37;-21.53
228;262;101;18.82;-7.18
229;166;102;18.8;7.5
230;97;70;16.29;21.84
231;114;33;11.56;35.3
232;58;10;5.01;47.69
233;0;0;0;59.11
234;0;0;0;69.87
235;0;0;0;80.42
236;0;0;0;91.38
237;0;0;0;103.63
238;0;0;0;118.58
239;0;0;0;138.4
240;0;0;0;165.06
241;0;0;0;-164.66
242;0;0;0;-138.18
243;0;0;0;-118.47
244;0;0;0;-103.56
245;0;0;0;-91.33
246;0;0;0;-80.37
247;0;0;0;-69.8
248;0;0;0;-59.03
249;9;39;5.25;-47.58
250;11;69;11.78;-35.16
251;47;82;16.49;-21.66
252;46;66;18.96;-7.29
253;1;48;18.95;7.42
254;0;35;16.46;21.79
255;1;21;11.73;35.28
256;1;9;5.19;47.69
257;0;0;0;59.13
258;0;0;0;69.9
259;0;0;0;80.46
260;0;0;0;91.43
261;0;0;0;103.68
262;0;0;0;118.62
263;0;0;0;138.39
264;0;0;0;164.92
265;0;0;0;-164.91
266;0;0;0;-138.46
267;0;0;0;-118.72
268;0;0;0;-103.79
269;0;0;0;-91.53
270;0;0;0;-80.55
271;0;0;0;-69.98
272;0;0;0;-59.19
273;0;28;5.34;-47.74
274;3;51;11.89;-35.31
275;51;89;16.62;-21.79
276;92;118;19.11;-7.4
277;114;119;19.11;7.34
278;129;102;16.63;21.74
279;100;63;11.91;35.26
280;41;21;5.36;47.7
281;0;1;0;59.15
282;0;0;0;69.94
283;0;0;0;80.51
284;0;0;0;91.48
285;0;0;0;103.74
286;0;0;0;118.66
287;0;0;0;138.38
288;0;0;0;164.8
289;0;0;0;-165.16
290;0;0;0;-138.75
291;0;0;0;-118.98
292;0;0;0;-104.02
293;0;0;0;-91.73
294;0;0;0;-80.74
295;0;0;0;-70.15
296;190;15;0;-59.36
297;466;42;5.43;-47.9
298;553;70;12;-35.46
299;635;79;16.75;-21.92
300;721;73;19.26;-7.5
301;698;70;19.28;7.27
302;625;61;16.81;21.7
303;483;42;12.09;35.25
304;194;15;5.55;47.71
305;0;1;0;59.18
306;0;0;0;69.98
307;0;0;0;80.56
308;0;0;0;91.55
309;0;0;0;103.8
310;0;0;0;118.71
311;0;0;0;138.38
312;0;0;0;164.68
313;0;0;0;-165.4
314;0;0;0;-139.03
315;0;0;0;-119.25
316;0;0;0;-104.25
317;0;0;0;-91.94
318;0;0;0;-80.93
319;0;0;0;-70.33
320;196;15;0;-59.53
321;489;41;5.53;-48.06
322;638;61;12.12;-35.61
323;704;71;16.89;-22.06
324;727;74;19.42;-7.61
325;715;70;19.46;7.19
326;643;61;16.99;21.66
327;495;43;12.28;35.24
328;199;16;5.73;47.72
329;0;1;0;59.21
330;0;0;0;70.03
331;0;0;0;80.63
332;0;0;0;91.61
333;0;0;0;103.87
334;0;0;0;118.77
335;0;0;0;138.38
336;0;0;0;164.57
337;0;0;0;-165.64
338;0;0;0;-139.32
339;0;0;0;-119.51
340;0;0;0;-104.49
341;0;0;0;-92.15
342;0;0;0;-81.12
343;0;0;0;-70.51
344;194;15;0;-59.7
345;480;42;5.63;-48.22
346;556;70;12.24;-35.76
347;537;93;17.03;-22.19
348;512;103;19.59;-7.71
349;475;102;19.64;7.12
350;430;83;17.18;21.62
351;268;51;12.47;35.23
352;67;18;5.93;47.74
353;0;1;0;59.26
354;0;0;0;70.08
355;0;0;0;80.69
356;0;0;0;91.69
357;0;0;0;103.95
358;0;0;0;118.83
359;0;0;0;138.4
360;0;0;0;164.47
361;0;0;0;-165.87
362;0;0;0;-139.6
363;0;0;0;-119.78
364;0;0;0;-104.73
365;0;0;0;-92.37
366;0;0;0;-81.32
367;0;0;0;-70.7
368;68;15;0;-59.88
369;86;49;5.74;-48.39
370;36;88;12.37;-35.91
371;75;105;17.19;-22.32
372;172;100;19.76;-7.82
373;379;86;19.82;7.05
374;480;70;17.38;21.59
375;376;45;12.67;35.23
376;161;15;6.12;47.77
377;0;1;0;59.3
378;0;0;0;70.15
379;0;0;0;80.76
380;0;0;0;91.77
381;0;0;0;104.04
382;0;0;0;118.91
383;0;0;0;138.43
384;0;0;0;164.37
385;0;0;0;-166.1
386;0;0;0;-139.89
387;0;0;0;-120.05
388;0;0;0;-104.97
389;0;0;0;-92.58
390;0;0;0;-81.52
391;0;0;0;-70.88
392;37;17;0;-60.05
393;138;54;5.86;-48.56
394;331;82;12.51;-36.06
395;367;101;17.35;-22.45
396;210;105;19.94;-7.92
397;114;86;20.02;6.99
398;49;63;17.58;21.56
399;11;37;12.87;35.24
400;4;11;6.32;47.8
401;0;1;0;59.35
402;0;0;0;70.21
403;0;0;0;80.84
404;0;0;0;91.86
405;0;0;0;104.13
406;0;0;0;118.99
407;0;0;0;138.46
408;0;0;0;164.28
409;0;0;0;-166.33
410;0;0;0;-140.17
411;0;0;0;-120.33
412;0;0;0;-105.21
413;0;0;0;-92.8
414;0;0;0;-81.72
415;0;0;0;-71.07
416;0;0;0;-60.23
417;3;38;5.98;-48.72
418;45;73;12.66;-36.22
419;60;106;17.51;-22.58
420;41;121;20.12;-8.02
421;34;106;20.22;6.92
422;12;79;17.78;21.54
423;3;42;13.08;35.25
424;0;11;6.53;47.84
425;0;0;0;59.41
426;0;0;0;70.28
427;0;0;0;80.93
428;0;0;0;91.95
429;0;0;0;104.23
430;0;0;0;119.08
431;0;0;0;138.5
432;0;0;0;164.21
433;0;0;0;-166.55
434;0;0;0;-140.46
435;0;0;0;-120.6
436;0;0;0;-105.46
437;0;0;0;-93.03
438;0;0;0;-81.93
439;0;0;0;-71.26
440;2;13;0;-60.41
441;13;37;6.11;-48.89
442;37;66;12.81;-36.37
443;55;96;17.68;-22.71
444;34;109;20.31;-8.12
445;8;99;20.42;6.86
446;3;71;18;21.52
447;1;39;13.29;35.26
448;1;14;6.74;47.88
449;0;1;0;59.47
450;0;0;0;70.36
451;0;0;0;81.02
452;0;0;0;92.06
453;0;0;0;104.33
454;0;0;0;119.18
455;0;0;0;138.55
456;0;0;0;164.14
457;0;0;0;-166.76
458;0;0;0;-140.74
459;0;0;0;-120.88
460;0;0;0;-105.71
461;0;0;0;-93.25
462;0;0;0;-82.13
463;0;0;0;-71.46
464;33;21;0;-60.59
465;78;67;6.25;-49.06
466;136;101;12.96;-36.52
467;262;106;17.86;-22.85
468;273;117;20.51;-8.22
469;123;119;20.63;6.81
470;52;92;18.21;21.5
471;108;51;13.51;35.28
472;77;15;6.95;47.93
473;0;2;0;59.54
474;0;0;0;70.45
475;0;0;0;81.12
476;0;0;0;92.16
477;0;0;0;104.45
478;0;0;0;119.28
479;0;0;0;138.61
480;0;0;0;164.07
481;0;0;0;-166.97
482;0;0;0;-141.02
483;0;0;0;-121.16
484;0;0;0;-105.97
485;0;0;0;-93.48
486;0;0;0;-82.34
487;0;0;0;-71.65
488;0;0;0;-60.78
489;0;18;6.39;-49.23
490;0;26;13.13;-36.68
491;5;36;18.05;-22.98
492;5;36;20.71;-8.31
493;0;29;20.85;6.75
494;0;20;18.44;21.49
495;0;8;13.73;35.3
496;0;3;7.16;47.98
497;0;0;0;59.61
498;0;0;0;70.54
499;0;0;0;81.22
500;0;0;0;92.28
501;0;0;0;104.57
502;0;0;0;119.4
503;0;0;0;138.67
504;0;0;0;164.02
505;0;0;0;-167.18
506;0;0;0;-141.3
507;0;0;0;-121.44
508;0;0;0;-106.22
509;0;0;0;-93.71
510;0;0;0;-82.55
511;0;0;0;-71.85
512;15;25;0;-60.96
513;61;71;6.54;-49.41
514;77;124;13.3;-36.84
515;81;157;18.24;-23.11
516;121;164;20.92;-8.41
517;166;157;21.07;6.7
518;110;100;18.66;21.48
519;15;38;13.96;35.33
520;0;11;7.38;48.04
521;0;1;0;59.69
522;0;0;0;70.63
523;0;0;0;81.33
524;0;0;0;92.4
525;0;0;0;104.69
526;0;0;0;119.52
527;0;0;0;138.75
528;0;0;0;163.97
529;0;0;0;-167.37
530;0;0;0;-141.58
531;0;0;0;-121.72
532;0;0;0;-106.48
533;0;0;0;-93.95
534;0;0;0;-82.77
535;0;0;0;-72.05
536;18;25;0;-61.15
537;33;66;6.69;-49.58
538;17;90;13.47;-36.99
539;7;95;18.43;-23.24
540;8;84;21.14;-8.5
541;2;55;21.3;6.65
542;1;31;18.89;21.47
543;1;16;14.19;35.37
544;0;5;7.61;48.1
545;0;1;0;59.78
546;0;0;0;70.73
547;0;0;0;81.44
548;0;0;0;92.52
549;0;0;0;104.83
550;0;0;0;119.64
551;0;0;0;138.83
552;0;0;0;163.93
553;0;0;0;-167.57
554;0;0;0;-141.86
555;0;0;0;-122
556;0;0;0;-106.74
557;0;0;0;-94.18
558;0;0;0;-82.99
559;0;0;0;-72.25
560;2;21;0;-61.34
561;7;63;6.86;-49.76
562;170;100;13.65;-37.15
563;487;98;18.64;-23.36
564;519;88;21.36;-8.59
565;464;82;21.53;6.6
566;504;65;19.13;21.47
567;449;49;14.42;35.4
568;212;22;7.84;48.17
569;0;3;0;59.86
570;0;0;0;70.84
571;0;0;0;81.56
572;0;0;0;92.66
573;0;0;0;104.97
574;0;0;0;119.78
575;0;0;0;138.92
576;0;0;0;163.9
577;0;0;0;-167.75
578;0;0;0;-142.13
579;0;0;0;-122.28
580;0;0;0;-107
581;0;0;0;-94.42
582;0;0;0;-83.2
583;0;0;0;-72.45
584;0;0;0;-61.53
585;7;32;7.02;-49.93
586;19;85;13.84;-37.3
587;155;137;18.85;-23.49
588;402;126;21.59;-8.68
589;554;91;21.77;6.56
590;542;76;19.37;21.47
591;407;56;14.66;35.45
592;160;24;8.07;48.24
593;0;3;0.07;59.96
594;0;0;0;70.95
595;0;0;0;81.69
596;0;0;0;92.79
597;0;0;0;105.11
598;0;0;0;119.92
599;0;0;0;139.02
600;0;0;0;163.88
601;0;0;0;-167.93
602;0;0;0;-142.41
603;0;0;0;-122.56
604;0;0;0;-107.26
605;0;0;0;-94.66
606;0;0;0;-83.42
607;0;0;0;-72.66
608;83;19;0;-61.72
609;291;49;7.2;-50.11
610;359;77;14.03;-37.46
611;348;99;19.06;-23.62
612;309;112;21.82;-8.77
613;303;111;22.01;6.52
614;217;112;19.62;21.48
615;28;85;14.9;35.49
616;1;28;8.3;48.32
617;0;2;0.29;60.06
618;0;0;0;71.07
619;0;0;0;81.82
620;0;0;0;92.94
621;0;0;0;105.27
622;0;0;0;120.06
623;0;0;0;139.12
624;0;0;0;163.86
625;0;0;0;-168.11
626;0;0;0;-142.67
627;0;0;0;-122.84
628;0;0;0;-107.52
629;0;0;0;-94.9
630;0;0;0;-83.64
631;0;0;0;-72.87
632;192;21;0;-61.91
633;475;51;7.38;-50.29
634;622;68;14.23;-37.62
635;665;76;19.28;-23.75
636;667;81;22.06;-8.85
637;635;85;22.26;6.49
638;478;86;19.87;21.49
639;318;70;15.15;35.55
640;133;32;8.54;48.4
641;0;5;0.52;60.17
642;0;0;0;71.19
643;0;0;0;81.96
644;0;0;0;93.09
645;0;0;0;105.43
646;0;0;0;120.22
647;0;0;0;139.23
648;0;0;0;163.85
649;0;0;0;-168.28
650;0;0;0;-142.94
651;0;0;0;-123.12
652;0;0;0;-107.78
653;0;0;0;-95.14
654;0;0;0;-83.87
655;0;0;0;-73.07
656;40;28;0;-62.11
657;179;74;7.56;-50.47
658;282;116;14.44;-37.78
659;303;148;19.51;-23.87
660;278;164;22.3;-8.94
661;167;156;22.52;6.45
662;90;118;20.13;21.51
663;99;72;15.4;35.6
664;57;31;8.78;48.49
665;0;5;0.75;60.28
666;0;0;0;71.32
667;0;0;0;82.1
668;0;0;0;93.25
669;0;0;0;105.59
670;0;0;0;120.38
671;0;0;0;139.35
672;0;0;0;163.85
673;0;0;0;-168.44
674;0;0;0;-143.2
675;0;0;0;-123.4
676;0;0;0;-108.05
677;0;0;0;-95.38
678;0;0;0;-84.09
679;0;0;0;-73.28
680;65;29;0;-62.3
681;213;72;7.75;-50.65
682;256;117;14.65;-37.93
683;279;139;19.74;-24
684;282;150;22.55;-9.02
685;233;142;22.78;6.42
686;195;106;20.39;21.53
687;106;70;15.65;35.67
688;33;27;9.02;48.58
689;0;3;0.98;60.39
690;0;0;0;71.46
691;0;0;0;82.25
692;0;0;0;93.41
693;0;0;0;105.76
694;0;0;0;120.55
695;0;0;0;139.47
696;0;0;0;163.85
697;0;0;0;-168.59
698;0;0;0;-143.46
699;0;0;0;-123.68
700;0;0;0;-108.31
701;0;0;0;-95.62
702;0;0;0;-84.32
703;0;0;0;-73.49
704;22;25;0;-62.5
705;62;71;7.95;-50.83
706;117;123;14.87;-38.09
707;359;126;19.98;-24.12
708;613;99;22.81;-9.1
709;687;86;23.04;6.4
710;661;72;20.65;21.56
711;539;56;15.91;35.73
712;233;27;9.27;48.68
713;0;5;1.22;60.52
714;0;0;0;71.6
715;0;0;0;82.41
716;0;0;0;93.57
717;0;0;0;105.94
718;0;0;0;120.72
719;0;0;0;139.61
720;0;0;0;163.87
721;0;0;0;-168.74
722;0;0;0;-143.72
723;0;0;0;-123.96
724;0;0;0;-108.57
725;0;0;0;-95.87
726;0;0;0;-84.54
727;0;0;0;-73.7
728;0;9;0;-62.7
729;0;24;8.15;-51.01
730;0;39;15.09;-38.25
731;2;49;20.22;-24.25
732;3;52;23.07;-9.17
733;1;49;23.31;6.37
734;1;40;20.92;21.59
735;1;24;16.17;35.81
736;0;10;9.52;48.79
737;0;2;1.46;60.64
738;0;0;0;71.74
739;0;0;0;82.57
740;0;0;0;93.75
741;0;0;0;106.12
742;0;0;0;120.9
743;0;0;0;139.74
744;0;0;0;163.89
745;0;0;0;-168.89
746;0;0;0;-143.97
747;0;0;0;-124.23
748;0;0;0;-108.84
749;0;0;0;-96.11
750;0;0;0;-84.77
751;0;0;0;-73.92
752;226;25;0.07;-62.89
753;539;54;8.36;-51.19
754;671;71;15.32;-38.41
755;739;78;20.47;-24.37
756;763;80;23.33;-9.25
757;746;78;23.58;6.35
758;689;71;21.19;21.62
759;572;56;16.43;35.88
760;247;29;9.77;48.9
761;0;6;1.7;60.78
762;0;0;0;71.89
763;0;0;0;82.73
764;0;0;0;93.93
765;0;0;0;106.31
766;0;0;0;121.09
767;0;0;0;139.89
768;0;0;0;163.91
769;0;0;0;-169.02
770;0;0;0;-144.21
771;0;0;0;-124.51
772;0;0;0;-109.1
773;0;0;0;-96.36
774;0;0;0;-85
775;0;0;0;-74.13
776;105;36;0.27;-63.09
777;376;69;8.57;-51.37
778;615;77;15.56;-38.56
779;711;81;20.73;-24.49
780;739;83;23.61;-9.32
781;729;80;23.86;6.34
782;679;72;21.47;21.66
783;560;58;16.7;35.97
784;239;32;10.03;49.01
785;0;7;1.94;60.92
786;0;0;0;72.05
787;0;0;0;82.9
788;0;0;0;94.11
789;0;0;0;106.5
790;0;0;0;121.28
791;0;0;0;140.04
792;0;0;0;163.95
793;0;0;0;-169.15
794;0;0;0;-144.46
795;0;0;0;-124.78
796;0;0;0;-109.37
797;0;0;0;-96.61
798;0;0;0;-85.23
799;0;0;0;-74.34
800;38;34;0.47;-63.29
801;77;89;8.79;-51.55
802;119;126;15.8;-38.72
803;199;136;20.99;-24.61
804;313;126;23.88;-9.39
805;408;112;24.15;6.33
806;244;112;21.75;21.7
807;55;91;16.97;36.06
808;25;40;10.28;49.13
809;0;6;2.18;61.06
810;0;0;0;72.21
811;0;0;0;83.08
812;0;0;0;94.3
813;0;0;0;106.7
814;0;0;0;121.48
815;0;0;0;140.2
816;0;0;0;163.99
817;0;0;0;-169.28
818;0;0;0;-144.69
819;0;0;0;-125.05
820;0;0;0;-109.63
821;0;0;0;-96.85
822;0;0;0;-85.46
823;0;0;0;-74.56
824;40;34;0.68;-63.49
825;112;88;9.02;-51.73
826;171;141;16.04;-38.87
827;269;170;21.25;-24.73
828;495;141;24.16;-9.46
829;684;93;24.43;6.32
830;685;75;22.03;21.75
831;580;59;17.25;36.15
832;255;32;10.54;49.26
833;0;7;2.43;61.21
834;0;0;0;72.37
835;0;0;0;83.26
836;0;0;0;94.5
837;0;0;0;106.91
838;0;0;0;121.68
839;0;0;0;140.36
840;0;0;0;164.03
841;0;0;0;-169.39
842;0;0;0;-144.93
843;0;0;0;-125.32
844;0;0;0;-109.89
845;0;0;0;-97.1
846;0;0;0;-85.69
847;0;0;0;-74.77
848;3;17;0.89;-63.69
849;15;52;9.25;-51.91
850;23;87;16.29;-39.03
851;76;132;21.52;-24.84
852;107;148;24.45;-9.52
853;64;130;24.73;6.31
854;26;108;22.32;21.8
855;6;69;17.52;36.25
856;27;30;10.8;49.39
857;0;6;2.68;61.36
858;0;0;0;72.55
859;0;0;0;83.45
860;0;0;0;94.7
861;0;0;0;107.12
862;0;0;0;121.89
863;0;0;0;140.53
864;0;0;0;164.09
865;0;0;0;-169.5
866;0;0;0;-145.16
867;0;0;0;-125.59
868;0;0;0;-110.16
869;0;0;0;-97.35
870;0;0;0;-85.92
871;0;0;0;-74.99
872;18;20;1.11;-63.89
873;82;61;9.48;-52.09
874;245;96;16.55;-39.19
875;250;122;21.8;-24.96
876;130;159;24.74;-9.59
877;124;177;25.02;6.31
878;104;148;22.61;21.86
879;92;102;17.8;36.35
880;60;49;11.07;49.52
881;0;8;2.93;61.52
882;0;0;0;72.72
883;0;0;0;83.64
884;0;0;0;94.9
885;0;0;0;107.34
886;0;0;0;122.1
887;0;0;0;140.7
888;0;0;0;164.14
889;0;0;0;-169.61
890;0;0;0;-145.38
891;0;0;0;-125.85
892;0;0;0;-110.42
893;0;0;0;-97.59
894;0;0;0;-86.15
895;0;0;0;-75.2
896;232;28;1.33;-64.09
897;546;57;9.72;-52.28
898;671;72;16.81;-39.34
899;715;84;22.08;-25.07
900;737;87;25.03;-9.65
901;743;80;25.32;6.31
902;694;73;22.91;21.92
903;588;60;18.08;36.46
904;421;34;11.34;49.67
905;0;9;3.18;61.69
906;0;0;0;72.9
907;0;0;0;83.83
908;0;0;0;95.11
909;0;0;0;107.56
910;0;0;0;122.32
911;0;0;0;140.88
912;0;0;0;164.21
913;0;0;0;-169.71
914;0;0;0;-145.6
915;0;0;0;-126.11
916;0;0;0;-110.68
917;0;0;0;-97.84
918;0;0;0;-86.38
919;0;0;0;-75.42
920;241;29;1.56;-64.29
921;558;58;9.97;-52.46
922;676;74;17.08;-39.49
923;737;82;22.37;-25.19
924;761;85;25.33;-9.7
925;755;81;25.63;6.32
926;710;74;23.21;21.99
927;608;61;18.37;36.57
928;439;35;11.6;49.81
929;0;9;3.43;61.86
930;0;0;0;73.09
931;0;0;0;84.04
932;0;0;0;95.33
933;0;0;0;107.78
934;0;0;0;122.55
935;0;0;0;141.07
936;0;0;0;164.28
937;0;0;0;-169.8
938;0;0;0;-145.82
939;0;0;0;-126.37
940;0;0;0;-110.94
941;0;0;0;-98.09
942;0;0;0;-86.61
943;0;0;0;-75.64
944;256;30;1.79;-64.49
945;590;57;10.22;-52.64
946;710;72;17.35;-39.65
947;767;80;22.66;-25.3
948;788;83;25.64;-9.76
949;778;81;25.94;6.33
950;729;75;23.51;22.06
951;622;62;18.66;36.69
952;446;36;11.87;49.96
953;0;10;3.69;62.03
954;0;0;0;73.28
955;0;0;0;84.24
956;0;0;0;95.55
957;0;0;0;108.01
958;0;0;0;122.77
959;0;0;0;141.26
960;0;0;0;164.35
961;0;0;0;-169.89
962;0;0;0;-146.03
963;0;0;0;-126.63
964;0;0;0;-111.2
965;0;0;0;-98.33
966;0;0;0;-86.84
967;0;0;0;-75.85
968;249;31;2.03;-64.69
969;575;58;10.48;-52.82
970;690;73;17.62;-39.8
971;746;81;22.95;-25.41
972;763;84;25.95;-9.81
973;747;83;26.25;6.34
974;683;77;23.81;22.13
975;490;67;18.95;36.81
976;304;40;12.15;50.12
977;0;10;3.94;62.21
978;0;0;0;73.48
979;0;0;0;84.45
980;0;0;0;95.77
981;0;0;0;108.25
982;0;0;0;123.01
983;0;0;0;141.45
984;0;0;0;164.44
985;0;0;0;-169.97
986;0;0;0;-146.24
987;0;0;0;-126.88
988;0;0;0;-111.45
989;0;0;0;-98.58
990;0;0;0;-87.07
991;0;0;0;-76.07
992;2;20;2.28;-64.9
993;6;49;10.74;-53
994;18;93;17.9;-39.95
995;59;124;23.25;-25.52
996;65;150;26.26;-9.86
997;115;178;26.56;6.36
998;261;152;24.12;22.21
999;266;103;19.24;36.94
1000;186;55;12.42;50.28
1001;0;12;4.2;62.4
1002;0;0;0;73.68
1003;0;0;0;84.67
1004;0;0;0;96
1005;0;0;0;108.49
1006;0;0;0;123.25
1007;0;0;0;141.65
1008;0;0;0;164.52
1009;0;0;0;-170.04
1010;0;0;0;-146.44
1011;0;0;0;-127.13
1012;0;0;0;-111.71
1013;0;0;0;-98.82
1014;0;0;0;-87.3
1015;0;0;0;-76.29
1016;38;30;2.53;-65.1
1017;88;65;11;-53.19
1018;66;88;18.19;-40.11
1019;14;100;23.56;-25.63
1020;8;100;26.58;-9.91
1021;5;78;26.88;6.38
1022;3;41;24.43;22.3
1023;7;25;19.53;37.08
1024;66;21;12.7;50.45
1025;61;7;4.46;62.58
1026;0;0;0;73.89
1027;0;0;0;84.89
1028;0;0;0;96.23
1029;0;0;0;108.73
1030;0;0;0;123.49
1031;0;0;0;141.85
1032;0;0;0;164.61
1033;0;0;0;-170.11
1034;0;0;0;-146.63
1035;0;0;0;-127.38
1036;0;0;0;-111.96
1037;0;0;0;-99.07
1038;0;0;0;-87.53
1039;0;0;0;-76.5
1040;28;46;2.78;-65.3
1041;32;98;11.28;-53.37
1042;24;144;18.48;-40.26
1043;22;154;23.87;-25.73
1044;17;144;26.9;-9.95
1045;14;120;27.21;6.41
1046;7;72;24.75;22.39
1047;3;42;19.83;37.22
1048;10;23;12.97;50.62
1049;7;6;4.72;62.78
1050;0;0;0;74.1
1051;0;0;0;85.11
1052;0;0;0;96.47
1053;0;0;0;108.98
